country,population,gdppc,co2emission
Senegal,9.797734,1.11516356921626,0.401966209737884
Suriname,0.470949,5.72644461234713,4.66405704226997
El Salvador,5.887936,2.66571575285188,0.977171457026707
Eswatini,1.005435,3.11781634147115,1.18533271668482
Chad,8.355654,0.462254239716662,0.0583689798548384
Togo,4.924402,0.558651003209915,0.276268468739961
Thailand,62.952642,3.45835272238492,2.74329018629591
Tajikistan,6.216341,0.415464539876491,0.359837081009552
Turkmenistan,4.516133,2.3811746751353997,8.31221733283763
Tunisia,9.70835,3.0017780284794897,2.05213151565405
Tonga,0.097973,3.27945662043994,0.973145662580507
Turkey,63.240194,8.23759920766912,3.41794199745814
Trinidad and Tobago,1.267153,9.7859097501933,18.8131717322218
Tuvalu,0.009394,3.0880534076394603,0.780711092186502
Tanzania,33.49918,0.5220767884105431,0.0791434596309522
Ukraine,49.1765,1.8179728463860398,6.52553225626061
Uganda,23.650172,0.549130530110437,0.0607802767776911
United States,282.162411,44.7269653978293,20.1787505069199
Uruguay,3.319736,9.00175004709871,1.5983647494861
Uzbekistan,24.6504,0.97901201409429806,4.941815954305
St. Vincent and the Grenadines,0.107784,4.75305711542653,1.360869887924
"Venezuela, RB",24.192446,11.9442058377568,6.30041798997919
Vietnam,79.910412,0.7651856509326149,0.671308552382385
Vanuatu,0.184972,2.8413296238299197,0.455966308414246
Samoa,0.174454,2.85562064811745,0.819774840359063
"Yemen, Rep.",17.409072,1.1686926587477702,0.841074756885376
South Africa,44.967708,5.9376260860986,8.42082992088456
Zambia,10.415944,0.9487362265620389,0.174972042860445
Zimbabwe,11.881477,1.4490427670955701,1.17187442268331
